"SPECIES","YEAR","REGION","POP_PREVALENCE","LG_PREVALENCE","SM_PREVALENCE"
"TANNER",1982,"EBS",NA,NA,NA
"TANNER",1983,"EBS",NA,NA,NA
"TANNER",1984,"EBS",NA,NA,NA
"TANNER",1985,"EBS",NA,NA,NA
"TANNER",1986,"EBS",NA,NA,NA
"TANNER",1987,"EBS",NA,NA,NA
"TANNER",1988,"EBS",NA,NA,NA
"TANNER",1989,"EBS",0.144309359132096,0,0.261584703089858
"TANNER",1990,"EBS",0.393975605778675,0.0149727834556617,1.10451941984752
"TANNER",1991,"EBS",0.132075015570677,0,0.481089260964673
"TANNER",1992,"EBS",0.471100569358636,0,2.12327257331318
"TANNER",1993,"EBS",0.460938745436344,0.013407533472182,1.94064679990299
"TANNER",1994,"EBS",0.0252578774548283,0,0.0791226043706518
"TANNER",1995,"EBS",0.525192560289791,0,2.07791896016335
"TANNER",1996,"EBS",0.28522202643219,0,0.862980135824982
"TANNER",1997,"EBS",0.950835252976568,0.0460809174962769,1.46892608968661
"TANNER",1998,"EBS",0.315003634865021,0,0.467139345081106
"TANNER",1999,"EBS",0.0282398671795035,0,0.0438820770140999
"TANNER",2000,"EBS",0.0867793026056762,0.0415114329046105,0.110914293228808
"TANNER",2001,"EBS",0.0391117851351118,0,0.0479128979041821
"TANNER",2002,"EBS",0.442847135449977,0,0.588263533468528
"TANNER",2003,"EBS",1.34137808374686,0,2.11350680562668
"TANNER",2004,"EBS",0.286487973335634,0.102408024969621,0.353660722412428
"TANNER",2005,"EBS",0.496826139561647,0.0238737668622648,0.732882928943508
"TANNER",2006,"EBS",0.193746592881943,0.00575530648156316,0.454657088896905
"TANNER",2007,"EBS",0.0548920138398429,0.0071046497040835,0.126451816056031
"TANNER",2008,"EBS",0.0142790892650037,0.0100292982762212,0.0253563735949852
"TANNER",2009,"EBS",0.0878453067383455,0.0470153342781363,0.125524624537652
"TANNER",2010,"EBS",0.19244646272864,0,0.306778385222508
"TANNER",2011,"EBS",0.14036547283559,0,0.203038352815603
"TANNER",2012,"EBS",0.00590463537442239,0,0.012302993183849
"TANNER",2013,"EBS",0.106472234776142,0,0.294193852732995
"TANNER",2014,"EBS",0.227001637215688,0.028336443264745,0.599159358419268
"TANNER",2015,"EBS",0.526120075969518,0.465946876132762,0.65841120608309
"TANNER",2016,"EBS",0.602397173286476,0.028032868718857,1.81687104553964
"TANNER",2017,"EBS",0.773046916121595,0,1.3703608477561
"TANNER",2018,"EBS",1.49005442575745,0.13606113152352,1.92421407381989
"TANNER",2019,"EBS",3.10223478779621,0.0797288813059896,4.10294200644427
"TANNER",2021,"EBS",0.368934992652685,0.0186370763420173,0.600628328118355
"TANNER",2022,"EBS",1.64601004994906,0.0621738573412645,2.33563583087541
"TANNER",2023,"EBS",1.51334768974602,0.145946607871201,1.80172498230831
"TANNER",2024,"EBS",0.80041796759499,0.00598984475316702,1.34315891613952
"TANNER",2025,"EBS",1.58000548768884,0.0369509405935621,2.67218200326355
