"SPECIES","YEAR","REGION","POP_PREVALENCE","MAT_PREVALENCE","IMM_PREVALENCE"
"TANNER",1989,"EBS",0.144309359132096,0,0.199596379074945
"TANNER",1990,"EBS",0.393975605778675,0.00711731122313683,0.686354231883136
"TANNER",1991,"EBS",0.132075015570677,0,0.243577204469553
"TANNER",1992,"EBS",0.471100569358636,0,1.01409745973111
"TANNER",1993,"EBS",0.460938745436344,0.0198961819997124,0.933769111665433
"TANNER",1994,"EBS",0.0252578774548283,0,0.0645403126273236
"TANNER",1995,"EBS",0.52519256028979,0,1.59283263573753
"TANNER",1996,"EBS",0.28522202643219,0,0.614885664384682
"TANNER",1997,"EBS",0.950835252976568,0,1.2110194664798
"TANNER",1998,"EBS",0.315003634865021,0,0.397028846610055
"TANNER",1999,"EBS",0.0282398671795035,0,0.0330783942202466
"TANNER",2000,"EBS",0.0867793026056762,0,0.108567401121093
"TANNER",2001,"EBS",0.0391117851351118,0,0.0429584773705918
"TANNER",2002,"EBS",0.442847135449976,0,0.519704088045836
"TANNER",2003,"EBS",1.34137808374686,0,1.71360801351567
"TANNER",2004,"EBS",0.286487973335634,0.151629115406005,0.30937679827072
"TANNER",2005,"EBS",0.496826139561647,0.0828233785539627,0.627508977213886
"TANNER",2006,"EBS",0.193746592881943,0,0.261998091190127
"TANNER",2007,"EBS",0.0548920138398429,0,0.079126794013737
"TANNER",2008,"EBS",0.0142790892650037,0.0139446257582233,0.0146411369853664
"TANNER",2009,"EBS",0.0878453067383456,0,0.125498789205447
"TANNER",2010,"EBS",0.19244646272864,0,0.266738773786587
"TANNER",2011,"EBS",0.14036547283559,0,0.162572007604229
"TANNER",2012,"EBS",0.00590463537442238,0,0.00709552496628993
"TANNER",2013,"EBS",0.106472234776142,0,0.168584699357113
"TANNER",2014,"EBS",0.227001637215688,0.01150612542357,0.384630716180721
"TANNER",2015,"EBS",0.526120075969517,0.583575991569592,0.456233841655441
"TANNER",2016,"EBS",0.602397173286476,0.0163421828496183,1.40568879964577
"TANNER",2017,"EBS",0.773046916121595,0,1.19464107303404
"TANNER",2018,"EBS",1.49005442575745,0.103939990087758,1.85796877039212
"TANNER",2019,"EBS",3.10223478779621,0.0782329368333398,3.7179232015071
"TANNER",2021,"EBS",0.368934992652685,0,0.470861884970046
"TANNER",2022,"EBS",1.64601004994906,0.0913314758022621,2.05059061020941
"TANNER",2023,"EBS",1.51334768974602,0.0879516074441246,1.71104878358084
"TANNER",2024,"EBS",0.80041796759499,0,0.992433737102276
