year,total_invert
1988,4438.632717890173
1989,4354.68067849133
1990,4841.761728477011
1991,4607.162934
1992,4490.118115173411
1993,3934.9688002241382
1994,4029.6574774310343
1995,4022.9305235172415
1996,3696.4773773045977
1997,5156.088901356322
1998,3830.0636818965518
1999,3242.6044993850574
2000,3357.3878668678162
2001,3782.909503683908
2002,4079.647864618497
2003,4227.9483135
2004,4431.498723184971
2005,4985.422267761628
2006,4974.098573781609
2007,4467.485189706897
2008,4209.703072551724
2009,3917.5450492068962
2010,4347.148097281609
2011,4912.5007659655175
2012,5202.5973055057475
2013,4736.292727752873
2014,4679.963344764368
2015,5210.345387988506
2016,5324.231939890805
2017,6350.253340637931
2018,5057.298867189655
2019,5584.502250695402
2020,NA
2021,5734.151058827586
2022,5888.828352356322
2023,5247.823496505747
2024,5729.964740942529
2025,5681.922079752873
