"year","total_pred"
1982,7060.52872035465
1983,8941.30080010345
1984,9854.04501832759
1985,8517.87073935057
1986,9771.75202458382
1987,10558.1077718698
1988,11610.1826189422
1989,10026.0649751214
1990,9324.44920253448
1991,9007.75123973988
1992,8866.83326652601
1993,10562.1001406552
1994,12126.5338871954
1995,10876.5862493103
1996,11610.9280721149
1997,11136.9835669713
1998,9902.00371766092
1999,8254.42988246552
2000,6607.68138663218
2001,7481.01258971839
2002,7136.65202761272
2003,8971.85124720115
2004,9993.00788604046
2005,10725.5615561221
2006,9785.17435995402
2007,8634.57645541379
2008,8967.19164547701
2009,7936.19197506322
2010,10009.1382563678
2011,10507.5049547126
2012,9323.95854231035
2013,9097.4274064023
2014,9989.98302344253
2015,7867.02946596552
2016,9285.62333205747
2017,8544.04188908046
2018,6500.07963513793
2019,6302.69878839081
2020,NA
2021,5876.795457
2022,7553.61516472988
2023,7415.08003495402
2024,8038.02108790805
2025,8351.17228968966
