year,clutch_fullness
1982,0.03538310809341999
1983,0.03843034659522598
1984,0.05101640410840043
1985,0.0873819135916442
1986,0.185460631127567
1987,0.060627555050201384
1988,0.01758794542947947
1989,0.02331942992047667
1990,0.010741491699879499
1991,0.018026562505929992
1992,0.04859816469991736
1993,0.05622976298901773
1994,0.11106384984709672
1995,0.14261573823653917
1996,0.13609098048940396
1997,0.24461034026246395
1998,0.12722449032282188
1999,0.12334673413611727
2000,0.0773670995633181
2001,0.05651631622476608
2002,0.03922286910796707
2003,0.02376257773377214
2004,0.022698389239301658
2005,0.0188745149584109
2006,0.041082686816308396
2007,0.04446751611918628
2008,0.054892326167388046
2009,0.09794557288350617
2010,0.07601170238518751
2011,0.13080440169017823
2012,0.07727278528908137
2013,0.0427416049247553
2014,0.029299187579526265
2015,0.03338181387149905
2016,0.046927821240478035
2017,0.10515231277784089
2018,0.0958721988237662
2019,0.08886120925443061
2020,NA
2021,0.0514148296582869
2022,0.03519282129356047
2023,0.0679967951980036
2024,0.029219186151367073
2025,0.028753409718882728
