YEAR,summer_bt,cp_extent,summer_st
1988,2.136684782608696,56942,6.665934065934066
1989,2.884764542936288,29674,6.770833333333334
1990,2.097068403908795,45313,7.242191780821918
1991,2.4874626865671643,40501,7.934985422740525
1992,1.6310126582278481,60551,6.961695906432749
1993,2.8414414414414417,35288,7.079945799457994
1994,1.6144827586206898,54135,5.6050938337801615
1995,1.524715909090909,71378,6.0896
1996,3.28121546961326,27669,6.682620320855615
1997,2.6290960451977403,43308,7.860160427807487
1998,3.113714285714286,25664,7.550943396226415
1999,0.7126801152737753,99047,3.9002710027100274
2000,2.0077809798270896,59749,6.312912087912088
2001,2.451388888888889,45313,5.859289617486339
2002,3.0838356164383565,25664,6.928763440860215
2003,3.6836512261580383,13233,7.842933333333334
2004,3.228142076502732,24461,8.411444141689374
2005,3.258092485549133,23258,7.247425474254743
2006,1.6663072776280323,68170,5.63800539083558
2007,1.5826666666666667,78997,6.45
2008,1.1016042780748663,96240,4.244385026737968
2009,1.1957333333333333,89824,4.681866666666667
2010,1.3386666666666667,74987,5.3536
2011,2.3120000000000003,45714,4.994666666666666
2012,0.8268096514745309,103057,5.042359249329759
2013,1.6370666666666667,72982,6.329066666666667
2014,3.018666666666667,36491,8.245866666666666
2015,3.1336,34486,7.165333333333334
2016,4.210666666666667,25664,9.578133333333334
2017,2.6528,48120,7.984266666666667
2018,4.157866666666667,1604,7.5776
2019,4.354133333333333,8020,9.230213903743316
2020,NA,NA,NA
2021,3.369066666666667,18446,7.26951871657754
2022,2.4816000000000003,49724,7.413866666666667
2023,2.244,48922,6.386933333333333
2024,2.472492836676218,44511,5.796275071633238
