year,summer_bt,cp_extent,summer_st,mean_AL
1975,1.678358208955224,30877,5.4574626865671645,-34.603305785123965
1976,1.5474452554744527,30476,4.093421052631579,-14.211065573770492
1977,3.1944444444444446,2406,8.711340206185568,-136.03305785123968
1978,3.2507177033492822,10426,6.432751091703057,-63.70454545454545
1979,5.143581081081082,12030,8.564705882352941,35.59710743801653
1980,2.7239583333333335,44110,4.69258064516129,-19.862704918032787
1981,3.601655629139073,18847,7.301324503311259,-133.400826446281
1982,2.2439169139465878,52531,5.583333333333333,48.3801652892562
1983,2.98974358974359,37293,8.604285714285714,-212.31198347107437
1984,2.2280346820809247,51729,7.20056338028169,-67.59016393442623
1985,2.319677419354839,42907,6.7472392638036816,19.623966942148762
1986,1.7909883720930233,62155,5.711461318051576,-135.4318181818182
1987,3.137784090909091,21253,6.890188679245283,-71.34504132231405
1988,2.136684782608696,56942,6.665934065934066,-60.709016393442624
1989,2.884764542936288,29674,6.770833333333334,124.08471074380165
1990,2.097068403908795,45313,7.242191780821918,-15.084710743801653
1991,2.4874626865671643,40501,7.934985422740525,35.02066115702479
1992,1.6310126582278481,60551,6.961695906432749,-75.68852459016394
1993,2.8414414414414417,35288,7.079945799457994,69.0103305785124
1994,1.6144827586206898,54135,5.6050938337801615,-73.93181818181819
1995,1.524715909090909,71378,6.0896,-48.02892561983471
1996,3.28121546961326,27669,6.682620320855615,52.09426229508197
1997,2.6290960451977403,43308,7.860160427807487,-60.56198347107438
1998,3.113714285714286,25664,7.550943396226415,-150.74586776859505
1999,0.7126801152737753,99047,3.9002710027100274,1.822314049586777
2000,2.0077809798270896,59749,6.312912087912088,-80.03688524590164
2001,2.451388888888889,45313,5.859289617486339,-82.10330578512396
2002,3.0838356164383565,25664,6.928763440860215,-26.81198347107438
2003,3.6836512261580383,13233,7.842933333333334,-85.82644628099173
2004,3.228142076502732,24461,8.411444141689374,-76.26844262295081
2005,3.258092485549133,23258,7.247425474254743,-36.18388429752066
2006,1.6663072776280323,68170,5.63800539083558,-13.809917355371901
2007,1.5826666666666667,78997,6.45,-21.136363636363637
2008,1.1016042780748663,96240,4.244385026737968,-37.48770491803279
2009,1.1957333333333333,89824,4.681866666666667,47.31404958677686
2010,1.3386666666666667,74987,5.3536,-127.02479338842976
2011,2.3120000000000003,45714,4.994666666666666,58.20661157024794
2012,0.8268096514745309,103057,5.042359249329759,-29.848360655737704
2013,1.6370666666666667,72982,6.329066666666667,-31.64669421487603
2014,3.018666666666667,36491,8.245866666666666,-42.93595041322314
2015,3.1336,34486,7.165333333333334,-70.52892561983471
2016,4.210666666666667,25664,9.578133333333334,-191.14344262295083
2017,2.6528,48120,7.984266666666667,111.37396694214875
2018,4.157866666666667,1604,7.5776,102.29132231404958
2019,4.354133333333333,8020,9.230213903743316,119.62603305785125
2020,NA,NA,NA,78.94877049180327
2021,3.369066666666667,18446,7.26951871657754,24.90909090909091
2022,2.4816000000000003,49724,7.413866666666667,31.611570247933884
2023,2.244,48922,6.386933333333333,46.45454545454545
2024,2.472492836676218,44511,5.796275071633238,-44.943548387096776
